symbol,timestamp,open,high,low,close,volume,trade_count,vwap
COST,2025-07-01 04:00:00+00:00,990.29,993.87,974.815,985.86,52128.0,2420.0,985.812607
COST,2025-07-02 04:00:00+00:00,983.44,985.44,977.08,982.33,39240.0,2155.0,981.270526
COST,2025-07-03 04:00:00+00:00,981.69,987.02,978.075,986.85,29941.0,1486.0,984.069276
COST,2025-07-07 04:00:00+00:00,984.575,991.855,976.8,991.75,46296.0,2109.0,986.389851
COST,2025-07-08 04:00:00+00:00,989.025,994.6,984.395,985.85,32362.0,1916.0,988.532138
COST,2025-07-09 04:00:00+00:00,986.51,988.09,973.41,981.71,43380.0,2478.0,978.129273
COST,2025-07-10 04:00:00+00:00,987.0,987.0,969.295,970.14,57724.0,2760.0,975.660671
COST,2025-07-11 04:00:00+00:00,975.92,977.18,966.42,969.89,46036.0,2435.0,970.080998
COST,2025-07-14 04:00:00+00:00,969.94,981.42,969.88,980.94,64661.0,2634.0,975.248923
COST,2025-07-15 04:00:00+00:00,979.25,979.25,967.15,968.08,40577.0,2657.0,969.792669
COST,2025-07-16 04:00:00+00:00,967.99,967.99,950.52,951.1,46105.0,2701.0,955.559272
COST,2025-07-17 04:00:00+00:00,950.74,954.235,947.74,953.795,30897.0,1755.0,951.219685
COST,2025-07-18 04:00:00+00:00,954.1,959.685,950.0,950.08,37718.0,1950.0,954.045555
COST,2025-07-21 04:00:00+00:00,951.38,954.845,946.685,947.26,40667.0,2545.0,950.131876
COST,2025-07-22 04:00:00+00:00,948.97,956.18,941.325,941.835,40725.0,2177.0,945.44956
COST,2025-07-23 04:00:00+00:00,942.375,947.52,937.565,941.325,39947.0,2118.0,943.782397
COST,2025-07-24 04:00:00+00:00,941.315,941.82,934.71,934.71,41706.0,1989.0,937.146851
COST,2025-07-25 04:00:00+00:00,938.15,940.895,935.0,935.67,35817.0,1999.0,937.157338
COST,2025-07-28 04:00:00+00:00,935.07,937.56,931.87,933.685,30874.0,2044.0,934.607548
COST,2025-07-29 04:00:00+00:00,932.37,940.7,927.935,934.65,44555.0,2499.0,934.207423
COST,2025-07-30 04:00:00+00:00,935.9,935.9,926.39,926.76,26350.0,2006.0,929.896532
COST,2025-07-31 04:00:00+00:00,927.985,945.21,927.985,939.77,58689.0,3139.0,940.597475
COST,2025-08-01 04:00:00+00:00,942.8,956.26,942.585,952.59,89734.0,5011.0,950.084812
COST,2025-08-04 04:00:00+00:00,952.76,958.09,948.93,955.34,40928.0,2232.0,953.309185
COST,2025-08-05 04:00:00+00:00,948.835,950.15,936.38,943.325,39453.0,2097.0,943.184472
COST,2025-08-06 04:00:00+00:00,946.93,970.44,944.905,968.65,104998.0,4501.0,966.385475
COST,2025-08-07 04:00:00+00:00,975.73,981.405,972.57,977.0,38311.0,2307.0,977.464042
COST,2025-08-08 04:00:00+00:00,982.17,987.83,979.345,981.145,36390.0,2732.0,982.251197
COST,2025-08-11 04:00:00+00:00,982.445,989.245,977.95,988.935,35193.0,2107.0,984.018387
COST,2025-08-12 04:00:00+00:00,988.5,991.32,981.31,991.32,33269.0,2209.0,987.0682
